Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,ASR (World),Crude rate,Cumulative risk
KAZ,23,398,398,Kazakhstan,2,681,-,-,5.4,6.5,0.57
JOR,23,400,400,Jordan,2,74,-,-,1.7,1.3,0.21
KEN,23,404,404,Kenya,2,2606,-,-,14.9,9.2,1.7
PRK,23,408,408,"Korea, Democratic People's Republic of",2,1281,-,-,6.6,9.6,0.72
KOR,23,410,410,"Korea, Republic of",2,1063,-,-,1.8,4.1,0.17
KWT,23,414,414,Kuwait,2,30,-,-,1.4,1.6,0.15
KGZ,23,417,417,Kyrgyzstan,2,291,-,-,8.1,8.0,0.91
LAO,23,418,418,"Lao People's Democratic Republic",2,243,-,-,6.8,6.3,0.73
LBN,23,422,422,Lebanon,2,61,-,-,1.6,2.1,0.19
LSO,23,426,426,Lesotho,2,342,-,-,35.1,28.5,3.6
LVA,23,428,428,Latvia,2,113,-,-,5.0,11.3,0.55
LBR,23,430,430,Liberia,2,345,-,-,19.6,12.3,2.3
LBY,23,434,434,Libya,2,172,-,-,4.6,4.7,0.50
LTU,23,440,440,Lithuania,2,181,-,-,5.9,12.0,0.67
LUX,23,442,442,Luxembourg,2,9,-,-,1.4,2.7,0.18
MDG,23,450,450,Madagascar,2,2338,-,-,21.2,14.7,2.3
MWI,23,454,454,Malawi,2,3844,-,-,55.2,34.7,5.8
MYS,23,458,458,Malaysia,2,964,-,-,5.0,5.7,0.59
MDV,23,462,462,Maldives,2,7,-,-,3.9,3.5,0.51
MLI,23,466,466,Mali,2,1242,-,-,21.6,10.2,2.5
MLT,23,470,470,Malta,2,5,-,-,1.2,1.9,0.13
MTQ,23,474,474,"France, Martinique",2,14,-,-,2.5,7.5,0.26
MRT,23,478,478,Mauritania,2,239,-,-,15.4,9.1,1.8
MUS,23,480,480,Mauritius,2,52,-,-,4.8,8.2,0.54
MEX,23,484,484,Mexico,2,4967,-,-,6.1,7.4,0.64
MNG,23,496,496,Mongolia,2,142,-,-,8.0,8.2,0.84
MDA,23,498,498,Republic of Moldova,2,177,-,-,6.6,10.8,0.70
MNE,23,499,499,Montenegro,2,34,-,-,6.1,10.3,0.58
MAR,23,504,504,Morocco,2,1009,-,-,4.6,5.3,0.54
MOZ,23,508,508,Mozambique,2,3090,-,-,26.8,17.3,2.8
OMN,23,512,512,Oman,2,27,-,-,2.0,1.4,0.25
NAM,23,516,516,Namibia,2,293,-,-,24.5,18.9,2.6
NPL,23,524,524,Nepal,2,879,-,-,6.0,5.7,0.66
NLD,23,528,528,The Netherlands,2,295,-,-,1.7,3.2,0.18
CUW,23,531,531,Curaçao,2,12,-,-,8.4,12.3,0.77
NCL,23,540,540,New Caledonia,2,11,-,-,5.0,7.4,0.49
VUT,23,548,548,Vanuatu,2,18,-,-,14.7,11.1,1.9
NZL,23,554,554,New Zealand,2,68,-,-,1.5,2.6,0.15
NIC,23,558,558,Nicaragua,2,364,-,-,10.8,10.4,1.2
NER,23,562,562,Niger,2,755,-,-,11.5,5.7,1.3
NGA,23,566,566,Nigeria,2,7599,-,-,12.0,6.6,1.4
NOR,23,578,578,Norway,2,138,-,-,2.3,5.0,0.23
PAK,23,586,586,Pakistan,2,1640,-,-,1.8,1.3,0.21
PAN,23,591,591,Panama,2,232,-,-,8.1,10.3,0.84
PNG,23,598,598,Papua New Guinea,2,635,-,-,18.4,12.4,2.0
PRY,23,600,600,Paraguay,2,593,-,-,16.5,17.2,1.7
PER,23,604,604,Peru,2,2405,-,-,11.4,14.0,1.2
PHL,23,608,608,Philippines,2,3389,-,-,6.0,5.8,0.65
POL,23,616,616,Poland,2,1768,-,-,4.2,8.9,0.48
PRT,23,620,620,Portugal,2,443,-,-,3.4,8.1,0.35
GNB,23,624,624,Guinea-Bissau,2,169,-,-,23.0,15.2,2.7
TLS,23,626,626,Timor-Leste,2,45,-,-,8.6,6.5,0.94
PRI,23,630,630,Puerto Rico,2,89,-,-,3.5,5.2,0.37
QAT,23,634,634,Qatar,2,13,-,-,2.0,1.5,0.29
REU,23,638,638,"France, La Réunion",2,19,-,-,2.3,4.1,0.24
ROU,23,642,642,Romania,2,1828,-,-,9.7,18.6,1.1
RUS,23,643,643,Russian Federation,2,6499,-,-,5.1,8.4,0.54
RWA,23,646,646,Rwanda,2,965,-,-,18.9,13.2,2.2
