Alpha-3 code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR,HDI_country_name,HDI_year,HDI,logASIR,logASMR,HDI_tier
GIN,Guinea,1323,28.9,17.8,3.4,809,18.0,10.9,2.2,0.623,Guinea,2023.0,0.5,3.3638415951183864,2.8903717578961645,Low
CMR,Cameroon,2379,28.9,16.3,3.4,1453,18.1,10.0,2.2,0.626,Cameroon,2023.0,0.588,3.3638415951183864,2.89591193827178,Medium
ZAF,South Africa,9794,27.4,29.8,2.9,5165,14.4,15.7,1.6,0.526,South Africa,2023.0,0.741,3.3105430133940246,2.667228206581955,High
SLE,Sierra Leone,721,25.9,16.6,2.9,439,16.1,10.1,1.9,0.622,Sierra Leone,2023.0,0.467,3.254242968705492,2.7788192719904172,Low
GTM,Guatemala,1894,24.9,20.4,2.6,1108,15.0,11.9,1.6,0.602,Guatemala,2023.0,0.662,3.214867803470662,2.70805020110221,Medium
TZA,"Tanzania, United Republic of",4966,24.8,14.4,2.9,3011,15.3,8.7,1.8,0.617,Tanzania,2023.0,0.555,3.2108436531709366,2.72785282839839,Medium
MRT,Mauritania,390,24.7,14.8,2.8,239,15.4,9.1,1.8,0.623,Mauritania,2023.0,0.563,3.2068032436339315,2.7343675094195836,Medium
TGO,Togo,746,24.4,15.8,2.7,452,15.1,9.6,1.7,0.619,Togo,2023.0,0.571,3.1945831322991562,2.714694743820879,Medium
KEN,Kenya,4294,24.0,15.1,2.8,2606,14.9,9.2,1.7,0.621,Kenya,2023.0,0.628,3.1780538303479458,2.7013612129514133,Medium
JAM,Jamaica,438,23.8,30.5,2.4,237,12.7,16.5,1.4,0.534,Jamaica,2023.0,0.72,3.169685580677429,2.5416019934645457,High
PER,Peru,4814,23.7,28.0,2.5,2405,11.4,14.0,1.2,0.481,Peru,2023.0,0.794,3.1654750481410856,2.4336133554004498,High
ROU,Romania,3666,23.5,37.4,2.5,1828,9.7,18.6,1.1,0.413,Romania,2023.0,0.845,3.1570004211501135,2.272125885509337,Very High
BHS,Bahamas,68,23.2,32.4,2.3,32,10.1,15.3,1.1,0.435,Bahamas,2023.0,0.82,3.1441522786722644,2.312535423847214,Very High
VEN,Venezuela,4012,23.0,27.9,2.3,2138,11.6,14.9,1.2,0.504,Venezuela,2023.0,0.709,3.1354942159291497,2.451005098112319,High
SOM,Somalia,1089,22.3,11.5,2.6,665,13.9,7.0,1.6,0.623,Somalia,2023.0,0.404,3.104586678466073,2.631888840136646,Low
SSD,South Sudan,890,21.6,14.7,2.6,554,13.6,9.1,1.6,0.63,South Sudan,2023.0,0.388,3.0726933146901194,2.6100697927420065,Low
HTI,Haiti,1091,21.5,18.3,2.2,659,13.0,11.1,1.4,0.605,Haiti,2023.0,0.554,3.068052935133617,2.5649493574615367,Medium
CAF,Central African Republic,257,21.4,9.3,2.5,167,14.2,6.0,1.7,0.664,Central African Republic,2023.0,0.414,3.0633909220278057,2.653241964607215,Low
BLZ,Belize,41,21.0,19.8,2.1,25,13.4,12.1,1.3,0.638,Belize,2023.0,0.721,3.044522437723423,2.5952547069568657,High
SUR,Suriname,76,20.6,23.9,2.3,45,11.9,14.2,1.4,0.578,Suriname,2023.0,0.722,3.0252910757955354,2.4765384001174837,High
ETH,Ethiopia,8159,20.2,12.4,2.4,5007,12.6,7.6,1.5,0.624,Ethiopia,2023.0,0.497,3.005682604407159,2.533696813957432,Low
MDA,Republic of Moldova,440,19.9,26.9,1.9,177,6.6,10.8,0.7,0.332,Moldova,2023.0,0.785,2.990719731730447,1.8870696490323797,High
NGA,Nigeria,12312,19.1,10.7,2.2,7599,12.0,6.6,1.4,0.628,Nigeria,2023.0,0.56,2.9496883350525844,2.4849066497880004,Medium
BTN,Bhutan,75,19.0,20.4,2.0,46,11.7,12.5,1.2,0.616,Bhutan,2023.0,0.698,2.9444389791664403,2.4595888418037104,Medium
VUT,Vanuatu,25,18.9,15.4,2.0,18,14.7,11.1,1.9,0.778,Vanuatu,2023.0,0.621,2.9391619220655967,2.6878474937846906,Medium
SLV,El Salvador,779,18.9,23.4,1.9,462,11.2,13.9,1.1,0.593,El Salvador,2023.0,0.678,2.9391619220655967,2.4159137783010487,Medium
