code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR,HDI_country_name,HDI_year,HDI,logASIR,logASMR,HDI_tier,HPV_vax_coverage,GNI_per_capita,Screening_program,Screening_program_bin,logGNI,Smoking_prev_female,HIV_prev,Death_reg_pct
VNM,Viet Nam,8274,12.3,16.1,1.4,4110,6.1,8.0,0.7,0.496,Vietnam,2023.0,0.766,2.509599262378372,1.8082887711792652,High,0.0,13032.636,Yes,1.0,9.475211952037649,1.3,0.43966,84.945
CHL,Chile,1905,12.0,19.2,1.2,843,5.1,8.5,0.53,0.425,Chile,2023.0,0.878,2.4849066497880004,1.62924053973028,Very High,89.0,28047.17,Yes,1.0,10.24164301459538,25.4,0.66599,96.7025
LAO,Lao People's Democratic Republic,437,12.0,11.3,1.2,243,6.8,6.3,0.73,0.567,Laos,2023.0,0.617,2.4849066497880004,1.916922612182061,Medium,63.0,8106.1533,No,0.0,9.000378718926525,9.3,0.41796,38.525999999999996
PRT,Portugal,932,11.8,17.1,1.1,443,3.4,8.1,0.35,0.288,Portugal,2023.0,0.89,2.468099531471619,1.2237754316221157,Very High,96.0,41063.926,Yes,1.0,10.622885302173446,21.6,0.4743,99.01
BIH,Bosnia Herzegovina,284,11.8,17.1,1.2,152,4.6,9.2,0.52,0.39,Bosnia and Herzegovina,2023.0,0.804,2.468099531471619,1.5260563034950492,Very High,5.0,19827.486,Yes,1.0,9.894824435867198,31.2,,96.1
JPN,Japan,11057,11.3,17.5,1.1,3953,2.6,6.2,0.27,0.23,Japan,2023.0,0.925,2.424802725718295,0.9555114450274363,Very High,22.0,47774.61,Yes,1.0,10.774249605809848,9.2,,97.128
ARM,Armenia,274,11.1,17.2,1.2,98,3.7,6.2,0.41,0.333,Armenia,2023.0,0.811,2.4069451083182885,1.308332819650179,Very High,41.0,20220.723,Yes,1.0,9.914463248611764,1.8,0.37344,98.112
NOR,Norway,390,10.9,14.1,1.0,138,2.3,5.0,0.23,0.211,Norway,2023.0,0.97,2.388762789235098,0.8329091229351039,Very High,91.0,112710.02,Yes,1.0,11.632573604682651,13.1,0.08748,99.434
EST,Estonia,118,10.8,16.5,1.1,65,4.1,9.1,0.47,0.38,Estonia,2023.0,0.905,2.379546134130174,1.410986973710262,Very High,63.0,40880.93,Yes,1.0,10.618418974129582,22.0,0.70752,99.328
CRI,Costa Rica,347,10.6,13.4,0.97,172,4.7,6.6,0.49,0.443,Costa Rica,2023.0,0.833,2.360854001118021,1.547562508716013,Very High,84.0,23417.213,Yes,1.0,10.061226629216574,4.4,0.62999,96.082
MUS,Mauritius,101,10.5,15.9,1.1,52,4.8,8.2,0.54,0.457,Mauritius,2023.0,0.806,2.3513752571634776,1.5686159179138452,Very High,78.0,27279.96,No,0.0,10.213907645680663,2.6,,99.17
LTU,Lithuania,279,10.5,18.5,1.1,181,5.9,12.0,0.67,0.562,Lithuania,2023.0,0.895,2.3513752571634776,1.7749523509116738,Very High,74.0,41916.465,Yes,1.0,10.643433988149102,21.6,0.21562,97.354
IND,India,79360,10.5,11.3,1.2,36319,4.9,5.2,0.57,0.467,India,2023.0,0.685,2.3513752571634776,1.589235205116581,Medium,0.0,9046.756,Yes,1.0,9.110161519395652,10.9,0.1992796,74.444
MKD,North Macedonia,136,10.4,14.5,1.0,74,4.6,7.9,0.49,0.442,North Macedonia,2023.0,0.815,2.341805806147327,1.5260563034950492,Very High,21.0,22128.395,Yes,1.0,10.00461690443213,35.2,0.08032,89.40599999999999
NPL,Nepal,1532,10.3,9.9,1.1,879,6.0,5.7,0.66,0.583,Nepal,2023.0,0.622,2.33214389523559,1.791759469228055,Medium,0.0,4725.9307,Yes,1.0,8.460819794076075,12.2,0.13464,57.988
MAR,Morocco,2228,10.2,11.8,1.2,1009,4.6,5.3,0.54,0.451,Morocco,2023.0,0.71,2.322387720290225,1.5260563034950492,High,0.0,8652.881,Yes,1.0,9.065647608056375,1.3,0.07649,22.735
KAZ,Kazakhstan,1256,10.2,11.9,1.0,681,5.4,6.5,0.57,0.529,Kazakhstan,2023.0,0.837,2.322387720290225,1.6863989535702288,Very High,0.0,30988.53,Yes,1.0,10.341372415000397,7.0,0.32703,94.11
MYS,Malaysia,1968,10.2,11.6,1.2,964,5.0,5.7,0.59,0.49,Malaysia,2023.0,0.819,2.322387720290225,1.6094379124341005,Very High,77.0,32553.092,Yes,1.0,10.39062763544474,0.7,0.28763,99.56800000000001
TKM,Turkmenistan,392,10.0,10.3,1.1,217,5.6,5.7,0.61,0.56,Turkmenistan,2023.0,0.764,2.302585092994046,1.7227665977411035,High,97.0,17715.582,Yes,1.0,9.782199870273878,0.5,,91.36
LKA,Sri Lanka,1735,9.8,14.6,1.2,1072,6.0,9.0,0.74,0.612,Sri Lanka,2023.0,0.776,2.2823823856765264,1.791759469228055,High,74.0,12615.601,Yes,1.0,9.44268950163672,2.7,0.03589,97.686
LBY,Libya,360,9.5,9.9,1.1,172,4.6,4.7,0.5,0.484,Libya,2023.0,0.721,2.2512917986064958,1.5260563034950492,High,0.0,19831.432,No,0.0,9.895023432723995,0.2,0.13194,51.745000000000005
POL,Poland,3318,9.4,16.7,1.0,1768,4.2,8.9,0.48,0.447,Poland,2023.0,0.906,2.2407096892759584,1.4350845252893227,Very High,0.0,42217.637,Yes,1.0,10.650593351100808,19.3,,99.896
ALB,Albania,164,8.7,11.6,0.88,83,3.9,5.9,0.44,0.448,Albania,2023.0,0.81,2.163323025660538,1.3609765531356006,Very High,18.0,17627.395,Yes,1.0,9.777209504973555,6.4,0.07909,91.378
DNK,Denmark,325,8.6,10.8,0.78,112,1.6,3.7,0.16,0.186,Denmark,2023.0,0.962,2.151762203259462,0.4700036292457356,Very High,82.0,76007.86,Yes,1.0,11.238592034973513,16.2,0.07306,99.59200000000001
KOR,"Korea, Republic of",3361,8.4,13.0,0.79,1063,1.8,4.1,0.17,0.214,South Korea,2023.0,0.937,2.128231705849268,0.5877866649021191,Very High,65.0,49726.453,Yes,1.0,10.814292324009182,5.8,,98.482
SGP,Singapore,343,8.2,12.2,0.85,113,2.3,4.0,0.25,0.28,Singapore,2023.0,0.946,2.1041341542702074,0.8329091229351039,Very High,68.0,111239.23,Yes,1.0,11.61943838635343,5.6,0.12833,87.422
HRV,Croatia,253,8.2,12.6,0.82,134,3.2,6.7,0.36,0.39,Croatia,2023.0,0.889,2.1041341542702074,1.1631508098056809,Very High,53.0,41379.89,Yes,1.0,10.630550293006973,33.0,0.06718,98.904
AZE,Azerbaijan,558,8.0,10.6,0.88,205,2.9,3.9,0.33,0.362,Azerbaijan,2023.0,0.789,2.079441541679836,1.0647107369924282,High,0.0,20667.957,No,0.0,9.936339808893976,0.1,0.13166,75.862
SWE,Sweden,553,7.9,10.5,0.74,256,2.0,4.9,0.22,0.253,Sweden,2023.0,0.959,2.066862759472976,0.6931471805599453,Very High,86.0,66102.086,Yes,1.0,11.09895558358691,16.0,0.08712,98.812
